from,to,weight
P2K6vCyNJXBLZWStTNeYHg7cnHLqaNhWoM31mFU5dgKaZbY,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,95435.1
P2KCtaF4ZMN4J3kafYcwiJrtNFiQhdcpao79yGMKRnj5Sxx,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,53811.0
P2K9TE2D5pncVTMxSwUnTQ68VDZSQ6yjfdbKfHsPiWMhtSH,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,778.3
P2KHv1JJUbSqw4uA2A8u3C995wvuaPsEMPkLUkwf61hJYe5,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,1889.0
P2KBXcczGh8DT5PX6wG9NaJFe5znXxc78rTAES5TL2ByW3k,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,3563.6
P2KJwpiRVWSS82qu5hfjrPz4YRY2RRT3BTaHWxsiFHVNrp6,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,279.4
P2KHAT9GxFSHk3UFdb9Ed3JataL4x1VaXir2bEkuJPRRKNA,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,707.2
P2KBi3xb3bfHsYSTh4etstK6jfqsnpEGsGn8vXqQcRyZYZ5,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,593.6
P2K56GBMbUCMFBGLzh6fv4WaAj2zTZoS7hsdw9289jkDM1v,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,1781.5
P2KKGPahgTPdKCSYTJKzeCZLcrPDy5tDCsfvu28waz1WBuJ,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,7176.6
P2K5Zy4FaA9LykUz6RbJrnDj9F52TrSfiTXfduAMRxtbvSp,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,2999.0
P2KA6iCED5dshK9r6d7s36EWKVTitCfYS6qWndUggBn3kvL,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,8999.0
P2KLkRm1tSNj6gXLRZbjiZirXi459nugbGY66XZrYkZyAxL,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,7022.7
P2K81ZCveoAvnrTN3jZ1baojWGocHV4KSFYuL3TuPNiPy73,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,4379.0
P2KG94hYwMexWKQ3ASPQToCoyBcw96av9W9uE4sLLNs2NRA,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,18420.0
P2KCFtbs8zzsji4KaCioVhtbDMk2D7mDNB2F7yiDNPX3Ait,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,94.0
P2KE9tJ5iKqSespf8aSSD2u17NVnT4e7QWwkjZVckzKnsgB,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,1123.3
P2K8NHUFjoN9VbSzr156TkboEiQhZuCd6oUPr9XvuP53WzA,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,2214.6
P2KGS2FhttBaVLyWBD9eJ23bt365znJ3CHK9SMe21jnNsuv,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,543.3
P2KAMDC3KRDfDucaj8vNNggYmEM8YHyFZjrUqh1xAWnQfJ4,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,1750.0
P2K4sN51FAEGwLXvc4tEFeA7QpR9rgTcLtYRrUER4uxLkn4,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,10174.6
P2KEnXgbTPJ6KzwQ7yvzV4gTCME2ov9osFBVCcwT3hFfN5Q,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,1499.0
P2KD62nWLzq5o27STqFHUu5CbgyTgNehdtLxxEGjYtE54UN,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,11516.0
P2KEk29myJz1Cy5W4JFca7NpL96tupVHEoBvqQUQixnhZcD,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,4423.7
P2KArAYQLzx6j7rwY2Wujbeka1GyEL6JVi5HAxgCRjTA73a,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,5522.0
P2KHuCJdscZw8SSTZZNxmYC6hq3v9GfVzC6h9pmrUNRWkoa,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,4022.9
P2K9KuLTnc6yULxamWfUjVfy2MRVqDK9zhukFujvo8KYtjF,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,25539.8
P2KEQZqk4Ctwe8LyuQH6bPCCquwi7Xo8wCsinznQMRhbV5n,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,1789.9
P2K99q2MPE1kHHuKgUMgxZWxgNy9Gzoc8bGRP8AS3x3qBrS,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,402.4
P2KFHB1Y4J322z9N2HnzMertsjajZT7NmuZTDjpsvrX5gqM,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,97950.1
P2KKwvTtLWkJR8KfSeLKr95UTj7kWdq6ihXwH6e9cA3cDW9,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,3299.2
P2KJi6ecdswKMdnJS1MsePTZCTL9527dFvLWkJpfLmDbmqH,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,16263.0
P2KCQw155PyLzsxo7qQ3vHSv47XsPgFC9Dmr73HNdzjhpPy,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,979.0
P2K6EXXtiwCkrxr79yMT81gzKQDHMpfeBhX7j5uQ44Aoez3,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,331.9
